id	well	plate	total_reads	coverage	genecounts	treatment	RNAlibBatch	RNAseqBatch	DNAlibBatch	DNAseqBatch	egglayBatch	eclosionBatch	platingBatch	part	mainchrgenecounts
111_E9_h	111_E9	E9	111	7609698	4.2496	3187990	1	3	2	1	3	1	5	23	head	2670829
111_F12_h	111_F12	F12	111	9102956	4.02095	4679107	1	3	5	1	3	1	5	23	head	3598976
111_F2_h	111_F2	F2	111	7327044	3.82978	2769693	1	3	2	1	3	1	5	23	head	2287966
111_F3_h	111_F3	F3	111	8559088	4.65946	2102832	1	3	2	1	3	1	5	23	head	1742778
111_F4_h	111_F4	F4	111	8360530	4.47405	2720692	1	3	2	1	3	1	5	23	head	2257645
111_F5_h	111_F5	F5	111	8885462	4.69082	2077917	1	3	2	1	3	1	5	23	head	1667215
111_F6_h	111_F6	F6	111	11480716	3.884	2298909	1	3	2	1	3	1	5	23	head	1823200
111_F7_h	111_F7	F7	111	8566520	4.36012	2810073	1	3	2	1	3	1	5	23	head	2289407
111_F8_h	111_F8	F8	111	8525684	4.62077	2439561	1	3	2	1	3	1	5	23	head	1947357
111_F9_h	111_F9	F9	111	8888748	4.65392	3111086	1	3	2	1	3	1	5	23	head	2637009
111_G11_h	111_G11	G11	111	19733840	1.6885	4790588	1	3	5	1	3	1	5	23	head	3848963
111_G2_h	111_G2	G2	111	8587760	4.46296	2841737	1	3	5	1	3	1	5	23	head	2313535
111_G3_h	111_G3	G3	111	8898790	4.88853	1842945	1	3	5	1	3	1	5	23	head	1523618
111_G4_h	111_G4	G4	111	8325722	4.41709	2340175	1	3	2	1	3	1	5	23	head	1760797
111_G5_h	111_G5	G5	111	8471828	4.43118	3368701	1	3	2	1	3	1	5	23	head	2768398
111_G6_h	111_G6	G6	111	9855518	2.96983	1969710	1	3	2	1	3	1	5	23	head	1605536
111_H1_h	111_H1	H1	111	4011282	2.04624	2868354	1	3	5	1	3	1	5	23	head	2378721
111_H11_h	111_H11	H11	111	7832986	3.76461	2729901	1	3	5	1	3	1	5	23	head	2378800
111_H2_h	111_H2	H2	111	8977540	4.69987	2244325	1	3	2	1	3	1	5	23	head	1786044
111_H3_h	111_H3	H3	111	7974350	4.39657	2744112	1	3	5	1	3	1	5	23	head	2145375
111_H4_h	111_H4	H4	111	8996556	4.4772	2159321	1	3	5	1	3	1	5	23	head	1763882
111_H5_h	111_H5	H5	111	7680778	4.20666	2763464	1	3	5	1	3	1	5	23	head	2268297
111_H6_h	111_H6	H6	111	11079964	3.84961	2719380	1	3	4	1	3	1	5	23	head	2187742
111_H8_h	111_H8	H8	111	7036000	4.03623	3133634	1	3	5	1	3	1	5	23	head	2508266
112_A10_b	112_A10	A10	112	6216980	4.14609	2052299	1	5	3	2	2	1	5	23	body	1725483
112_A10_h	112_A10	A10	112	6216980	4.14609	6382698	1	2	3	3	4	1	5	23	head	5047011
112_A11_b	112_A11	A11	112	12117668	7.07683	2708063	1	5	3	2	2	1	5	23	body	2235002
112_A11_h	112_A11	A11	112	12117668	7.07683	4377866	1	2	3	3	4	1	5	23	head	3582733
112_A12_b	112_A12	A12	112	12346944	6.99689	4113086	1	5	3	2	2	1	5	23	body	3331551
112_A12_h	112_A12	A12	112	12346944	6.99689	4356855	1	2	3	3	4	1	5	23	head	3299662
112_A2_b	112_A2	A2	112	11167070	6.77269	1314874	1	5	3	2	2	1	5	23	body	1084824
112_A2_h	112_A2	A2	112	11167070	6.77269	3719810	1	2	3	3	4	1	5	23	head	3035027
112_A3_b	112_A3	A3	112	11444728	6.92469	2398670	1	5	3	2	2	1	5	23	body	1866048
112_A3_h	112_A3	A3	112	11444728	6.92469	1685782	1	2	3	3	4	1	5	23	head	1322873
112_A4_b	112_A4	A4	112	5701820	3.16069	1692914	1	5	3	2	2	1	5	23	body	1426666
112_A4_h	112_A4	A4	112	5701820	3.16069	3558539	1	2	3	3	4	1	5	23	head	2815441
112_A5_b	112_A5	A5	112	12546540	7.46273	1705463	1	5	3	2	2	1	5	23	body	1446053
112_A5_h	112_A5	A5	112	12546540	7.46273	2480284	1	2	3	3	4	1	5	23	head	1900413
112_A6_b	112_A6	A6	112	13278384	7.76858	2383965	1	5	3	2	2	1	5	23	body	2011013
112_A6_h	112_A6	A6	112	13278384	7.76858	4750333	1	2	3	3	4	1	5	23	head	3558986
112_A7_b	112_A7	A7	112	16236716	9.30735	3297447	1	5	3	2	2	1	5	23	body	2700293
112_A7_h	112_A7	A7	112	16236716	9.30735	4935774	1	2	3	3	4	1	5	23	head	3864645
112_A8_b	112_A8	A8	112	13284274	7.87095	3214805	1	5	3	2	2	1	5	23	body	2652119
112_A8_h	112_A8	A8	112	13284274	7.87095	3916483	1	2	3	3	4	1	5	23	head	3151120
112_A9_b	112_A9	A9	112	12435682	7.41609	1810017	1	5	3	2	2	1	5	23	body	1426711
112_A9_h	112_A9	A9	112	12435682	7.41609	6207012	1	2	3	3	4	1	5	23	head	4781173
112_B1_b	112_B1	B1	112	9818356	5.72606	1286933	1	5	3	2	2	1	5	23	body	1072348
112_B1_h	112_B1	B1	112	9818356	5.72606	3388230	1	2	3	3	4	1	5	23	head	2617038
112_B10_b	112_B10	B10	112	11454466	6.72891	1561751	1	5	3	2	2	1	5	23	body	1315518
112_B10_h	112_B10	B10	112	11454466	6.72891	5487677	1	2	3	3	4	1	5	23	head	4523874
112_B11_b	112_B11	B11	112	10752098	6.02715	1044026	1	5	3	2	2	1	5	23	body	875886
112_B11_h	112_B11	B11	112	10752098	6.02715	4876187	1	2	3	3	4	1	5	23	head	4006767
112_B12_b	112_B12	B12	112	11465414	7.00229	3824368	1	5	3	2	2	1	5	23	body	3137857
112_B2_b	112_B2	B2	112	6707796	4.01069	1710973	1	5	3	2	2	1	5	23	body	1405342
112_B2_h	112_B2	B2	112	6707796	4.01069	2662996	1	2	3	3	4	1	5	23	head	2081205
112_B3_b	112_B3	B3	112	11826554	6.87328	1226452	1	5	3	2	2	1	5	23	body	1028380
112_B3_h	112_B3	B3	112	11826554	6.87328	3263439	1	2	3	3	4	1	5	23	head	2549454
112_B4_b	112_B4	B4	112	11685996	6.76541	1870679	1	5	3	2	2	1	5	23	body	1558338
112_B4_h	112_B4	B4	112	11685996	6.76541	2139377	1	2	3	3	4	1	5	23	head	1643321
112_B5_b	112_B5	B5	112	14014702	7.96806	1940264	1	5	3	2	2	1	5	23	body	1581200
112_B5_h	112_B5	B5	112	14014702	7.96806	1768812	1	2	3	3	4	1	5	23	head	1392448
112_B6_b	112_B6	B6	112	13635660	8.14902	2182552	1	5	3	2	2	1	5	23	body	1816247
112_B6_h	112_B6	B6	112	13635660	8.14902	4394638	1	2	3	3	4	1	5	23	head	3347216
112_B7_b	112_B7	B7	112	13417978	7.865	3246876	1	5	3	2	2	1	5	23	body	2543839
112_B7_h	112_B7	B7	112	13417978	7.865	1318855	1	2	3	3	4	1	5	23	head	962094
112_B8_b	112_B8	B8	112	13615958	7.80588	1982738	1	5	3	2	2	1	5	23	body	1598021
112_B8_h	112_B8	B8	112	13615958	7.80588	5091461	1	2	3	3	4	1	5	23	head	3980739
112_B9_b	112_B9	B9	112	12731024	7.51223	2294528	1	5	3	2	2	1	5	23	body	1857642
112_B9_h	112_B9	B9	112	12731024	7.51223	1086093	1	2	3	3	4	1	5	23	head	817733
112_C1_h	112_C1	C1	112	11747112	7.21596	609657	1	2	3	3	4	1	5	23	head	487690
112_C10_b	112_C10	C10	112	11766830	6.90582	2851341	1	5	3	2	2	1	5	23	body	2386801
112_C10_h	112_C10	C10	112	11766830	6.90582	3786867	1	2	3	3	4	1	5	23	head	3069310
112_C11_b	112_C11	C11	112	6888276	4.23429	1833760	1	5	3	2	2	1	5	23	body	1539758
112_C11_h	112_C11	C11	112	6888276	4.23429	1457031	1	2	3	3	4	1	5	23	head	1167700
112_C12_b	112_C12	C12	112	10664486	6.54117	3509192	1	5	3	2	2	1	5	23	body	2981881
112_C12_h	112_C12	C12	112	10664486	6.54117	3200548	1	2	3	3	4	1	5	23	head	2427929
112_C2_b	112_C2	C2	112	8389698	5.4038	1313742	1	5	3	2	2	1	5	23	body	1106709
112_C2_h	112_C2	C2	112	8389698	5.4038	2821594	1	2	3	3	4	1	5	23	head	2243371
112_C3_b	112_C3	C3	112	9032150	5.62481	852458	1	5	3	2	2	1	5	23	body	713943
112_C3_h	112_C3	C3	112	9032150	5.62481	1403927	1	2	3	3	4	1	5	23	head	1084246
112_C5_b	112_C5	C5	112	13141376	7.60619	1976034	1	5	3	2	2	1	5	23	body	1663264
112_C5_h	112_C5	C5	112	13141376	7.60619	716237	1	2	3	3	4	1	5	23	head	607841
112_C6_b	112_C6	C6	112	14136644	8.49059	2559160	1	5	3	2	2	1	5	23	body	2087486
112_C6_h	112_C6	C6	112	14136644	8.49059	3225017	1	2	3	3	4	1	5	23	head	2472102
112_C7_b	112_C7	C7	112	13728676	8.08118	2648915	1	5	3	2	2	1	5	23	body	2134982
112_C7_h	112_C7	C7	112	13728676	8.08118	549981	1	2	3	3	4	1	5	23	head	409261
112_C8_b	112_C8	C8	112	15249922	8.69446	3313834	1	5	3	2	2	1	5	23	body	2708151
112_C8_h	112_C8	C8	112	15249922	8.69446	2912759	1	2	3	3	4	1	5	23	head	2183924
112_C9_b	112_C9	C9	112	12580270	7.21246	3200676	1	5	3	2	2	1	5	23	body	2713645
112_C9_h	112_C9	C9	112	12580270	7.21246	2155801	1	2	3	3	4	1	5	23	head	1651915
112_D1_h	112_D1	D1	112	12499160	7.35638	2411732	1	2	3	3	4	1	5	23	head	1823245
112_D10_b	112_D10	D10	112	8440196	5.07786	2067914	1	5	3	2	2	1	5	23	body	1741453
112_D10_h	112_D10	D10	112	8440196	5.07786	980795	1	2	3	3	4	1	5	23	head	760823
112_D11_b	112_D11	D11	112	7054526	4.15059	1748217	1	5	3	2	2	1	5	23	body	1449751
112_D11_h	112_D11	D11	112	7054526	4.15059	3469869	1	2	3	3	4	1	5	23	head	2682647
112_D2_b	112_D2	D2	112	12442388	7.3141	1346597	1	5	3	2	2	1	5	23	body	1121299
112_D2_h	112_D2	D2	112	12442388	7.3141	1452887	1	2	3	3	4	1	5	23	head	1113180
112_D3_b	112_D3	D3	112	12767522	7.38203	2162676	1	5	3	2	2	1	5	23	body	1799317
112_D3_h	112_D3	D3	112	12767522	7.38203	1778797	1	2	3	3	4	1	5	23	head	1403580
112_D4_b	112_D4	D4	112	14911220	8.50273	1685596	1	5	3	2	2	1	5	23	body	1426358
112_D4_h	112_D4	D4	112	14911220	8.50273	1713934	1	2	3	3	4	1	5	23	head	1323159
112_D5_b	112_D5	D5	112	11261504	6.79372	2588421	1	5	3	2	2	1	5	23	body	2104677
112_D5_h	112_D5	D5	112	11261504	6.79372	1991445	1	2	3	3	4	1	5	23	head	1497791
112_D6_b	112_D6	D6	112	14247856	8.49905	3546490	1	5	3	2	2	1	5	23	body	2897309
112_D6_h	112_D6	D6	112	14247856	8.49905	2499013	1	2	3	3	4	1	5	23	head	1972220
112_D7_b	112_D7	D7	112	13179880	7.89968	3549442	1	5	3	2	2	1	5	23	body	3026490
112_D7_h	112_D7	D7	112	13179880	7.89968	1962281	1	2	3	3	4	1	5	23	head	1495783
112_D8_b	112_D8	D8	112	12485278	7.55592	3260976	1	5	3	2	2	1	5	23	body	2616489
112_D8_h	112_D8	D8	112	12485278	7.55592	3884460	1	2	3	3	4	1	5	23	head	3045656
112_D9_b	112_D9	D9	112	9176384	5.34416	1746684	1	5	3	2	2	1	5	23	body	1448959
112_D9_h	112_D9	D9	112	9176384	5.34416	2421390	1	2	3	3	4	1	5	23	head	1817171
112_E1_b	112_E1	E1	112	11354182	6.8086	1610932	1	5	3	2	2	1	5	23	body	1356562
112_E10_b	112_E10	E10	112	12560142	7.2661	2174424	1	5	3	2	2	1	5	23	body	1806338
112_E10_h	112_E10	E10	112	12560142	7.2661	4586455	1	2	3	3	4	1	5	23	head	3490134
112_E11_b	112_E11	E11	112	9815492	6.01943	1991575	1	5	3	2	2	1	5	23	body	1654425
112_E11_h	112_E11	E11	112	9815492	6.01943	5734033	1	2	3	3	4	1	5	23	head	4503433
112_E12_b	112_E12	E12	112	10888014	6.58216	3738674	1	5	3	2	2	1	5	23	body	3075336
112_E12_h	112_E12	E12	112	10888014	6.58216	3301456	1	2	3	3	4	1	5	23	head	2706074
112_E2_b	112_E2	E2	112	10821456	6.34376	1328939	1	5	3	2	2	1	5	23	body	1110534
112_E2_h	112_E2	E2	112	10821456	6.34376	1917780	1	2	3	3	4	1	5	23	head	1445858
112_E3_b	112_E3	E3	112	12307396	6.91657	1804070	1	5	3	2	2	1	5	23	body	1429778
112_E3_h	112_E3	E3	112	12307396	6.91657	2268376	1	2	3	3	4	1	5	23	head	1747152
112_E4_b	112_E4	E4	112	11291596	6.69574	2310345	1	5	3	2	2	1	5	23	body	1795703
112_E4_h	112_E4	E4	112	11291596	6.69574	2219041	1	2	3	3	4	1	5	23	head	1707370
112_E5_b	112_E5	E5	112	14138338	8.06685	2374618	1	5	3	2	2	1	5	23	body	1956432
112_E5_h	112_E5	E5	112	14138338	8.06685	2054934	1	2	3	3	4	1	5	23	head	1636706
112_E6_b	112_E6	E6	112	14451302	8.63128	2586402	1	5	3	2	2	1	5	23	body	2074297
112_E7_b	112_E7	E7	112	11877200	7.28463	2954881	1	5	3	2	2	1	5	23	body	2429889
112_E8_b	112_E8	E8	112	14096352	8.26632	2792678	1	5	3	2	2	1	5	23	body	2363040
112_E8_h	112_E8	E8	112	14096352	8.26632	2160317	1	2	3	3	4	1	5	23	head	1721784
112_E9_b	112_E9	E9	112	11105342	6.65932	2407944	1	5	3	2	2	1	5	23	body	2086458
112_E9_h	112_E9	E9	112	11105342	6.65932	2140366	1	2	3	3	4	1	5	23	head	1668897
112_F1_b	112_F1	F1	112	10323102	6.20214	1225104	1	5	3	2	2	1	5	23	body	1001432
112_F10_b	112_F10	F10	112	12283596	7.3133	2470532	1	5	3	2	2	1	5	23	body	2067804
112_F10_h	112_F10	F10	112	12283596	7.3133	2967991	1	2	3	3	4	1	5	23	head	2152684
112_F11_b	112_F11	F11	112	10064380	6.06539	2989867	1	5	3	2	2	1	5	23	body	2486688
112_F11_h	112_F11	F11	112	10064380	6.06539	4153577	1	2	3	3	4	1	5	23	head	3276610
112_F12_h	112_F12	F12	112	4399648	2.62577	4339449	1	2	3	3	4	1	5	23	head	3451984
112_F2_b	112_F2	F2	112	12296084	7.21387	1725403	1	5	3	2	2	1	5	23	body	1415540
112_F2_h	112_F2	F2	112	12296084	7.21387	6147766	1	2	3	3	4	1	5	23	head	4813521
112_F3_b	112_F3	F3	112	11813008	7.05868	1783079	1	5	3	2	2	1	5	23	body	1443699
112_F3_h	112_F3	F3	112	11813008	7.05868	2531137	1	2	3	3	4	1	5	23	head	1892893
112_F4_b	112_F4	F4	112	12757646	7.51355	1968627	1	5	3	2	2	1	5	23	body	1607741
112_F4_h	112_F4	F4	112	12757646	7.51355	1592649	1	2	3	3	4	1	5	23	head	1241249
112_F5_b	112_F5	F5	112	12238740	7.48328	2904694	1	5	3	2	2	1	5	23	body	2366314
112_F5_h	112_F5	F5	112	12238740	7.48328	2309666	1	2	3	3	4	1	5	23	head	1809148
112_F6_b	112_F6	F6	112	12797566	7.61453	4390856	1	5	3	2	2	1	5	23	body	3720879
112_F6_h	112_F6	F6	112	12797566	7.61453	1861561	1	2	3	3	4	1	5	23	head	1442938
112_F7_b	112_F7	F7	112	14341220	8.39449	4713556	1	5	3	2	2	1	5	23	body	3925980
112_F7_h	112_F7	F7	112	14341220	8.39449	1597389	1	2	3	3	4	1	5	23	head	1242391
112_F8_b	112_F8	F8	112	12050580	7.27315	3843689	1	5	3	2	2	1	5	23	body	3186901
112_F8_h	112_F8	F8	112	12050580	7.27315	1180564	1	2	3	3	4	1	5	23	head	879554
112_F9_b	112_F9	F9	112	9927032	5.95247	3571640	1	5	3	2	2	1	5	23	body	2872910
112_F9_h	112_F9	F9	112	9927032	5.95247	1654722	1	2	3	3	4	1	5	23	head	1235339
112_G1_b	112_G1	G1	112	11591814	6.92416	2618625	1	5	3	2	2	1	5	23	body	2132775
112_G1_h	112_G1	G1	112	11591814	6.92416	1187741	1	2	3	3	4	1	5	23	head	842328
112_G10_b	112_G10	G10	112	11896122	7.21104	3292883	1	5	3	2	2	1	5	23	body	2828710
112_G10_h	112_G10	G10	112	11896122	7.21104	1906967	1	2	3	3	4	1	5	23	head	1528619
112_G11_b	112_G11	G11	112	11709016	6.73304	2617484	1	5	3	2	2	1	5	23	body	2177198
112_G11_h	112_G11	G11	112	11709016	6.73304	1280335	1	2	3	3	4	1	5	23	head	965877
112_G12_b	112_G12	G12	112	10411754	6.24401	4941681	1	5	3	2	2	1	5	23	body	4038654
112_G12_h	112_G12	G12	112	10411754	6.24401	6415135	1	2	3	3	4	1	5	23	head	5164820
112_G2_b	112_G2	G2	112	3240924	1.91577	1424681	1	5	3	2	2	1	5	23	body	1138339
112_G3_b	112_G3	G3	112	13901722	8.17717	2213627	1	5	3	2	2	1	5	23	body	1804439
112_G3_h	112_G3	G3	112	13901722	8.17717	3505874	1	2	3	3	4	1	5	23	head	2726744
112_G4_b	112_G4	G4	112	9663308	5.97849	1370964	1	5	3	2	2	1	5	23	body	1208387
112_G4_h	112_G4	G4	112	9663308	5.97849	2697464	1	2	3	3	4	1	5	23	head	1965101
112_G5_b	112_G5	G5	112	12988722	7.88988	3473572	1	5	3	2	2	1	5	23	body	2926196
112_G5_h	112_G5	G5	112	12988722	7.88988	1620731	1	2	3	3	4	1	5	23	head	1262692
112_G6_b	112_G6	G6	112	12865656	7.82282	3438070	1	5	3	2	2	1	5	23	body	2814435
112_G6_h	112_G6	G6	112	12865656	7.82282	3308370	1	2	3	3	4	1	5	23	head	2573686
112_G7_b	112_G7	G7	112	15354924	8.78159	3023869	1	5	3	2	2	1	5	23	body	2469978
112_G7_h	112_G7	G7	112	15354924	8.78159	1242527	1	2	3	3	4	1	5	23	head	953670
112_G8_b	112_G8	G8	112	13896048	8.1837	4373466	1	5	3	2	2	1	5	23	body	3646473
112_G8_h	112_G8	G8	112	13896048	8.1837	2611811	1	2	3	3	4	1	5	23	head	2007950
112_G9_b	112_G9	G9	112	12261954	7.0544	3536208	1	5	3	2	2	1	5	23	body	2827441
112_G9_h	112_G9	G9	112	12261954	7.0544	793111	1	2	3	3	4	1	5	23	head	581562
112_H1_b	112_H1	H1	112	12479174	7.21846	3692650	1	5	3	2	2	1	5	23	body	3088507
112_H10_b	112_H10	H10	112	10636136	6.36091	10059764	1	5	3	2	2	1	5	23	body	8252158
112_H10_h	112_H10	H10	112	10636136	6.36091	3615001	1	2	3	3	4	1	5	23	head	2599232
112_H11_b	112_H11	H11	112	11723998	7.25869	7741812	1	5	3	2	2	1	5	23	body	6204411
112_H11_h	112_H11	H11	112	11723998	7.25869	2514849	1	2	3	3	4	1	5	23	head	1921568
112_H12_b	112_H12	H12	112	9205042	5.54723	12620733	1	5	3	2	2	1	5	23	body	10461114
112_H2_b	112_H2	H2	112	13955542	8.2548	4455579	1	5	3	2	2	1	5	23	body	3616841
112_H2_h	112_H2	H2	112	13955542	8.2548	6954887	1	2	3	3	4	1	5	23	head	5316143
112_H3_b	112_H3	H3	112	13466194	7.61265	6167842	1	5	3	2	2	1	5	23	body	5129910
112_H3_h	112_H3	H3	112	13466194	7.61265	3267883	1	2	3	3	4	1	5	23	head	2438321
112_H4_b	112_H4	H4	112	16371758	9.58883	5587463	1	5	3	2	2	1	5	23	body	4601254
112_H4_h	112_H4	H4	112	16371758	9.58883	5074574	1	2	3	3	4	1	5	23	head	3761868
112_H5_b	112_H5	H5	112	15130004	9.20683	7162186	1	5	3	2	2	1	5	23	body	5954425
112_H5_h	112_H5	H5	112	15130004	9.20683	5777691	1	2	3	3	4	1	5	23	head	4389001
112_H6_h	112_H6	H6	112	22968220	12.1789	4123074	1	2	3	3	4	1	5	23	head	2765477
112_H7_h	112_H7	H7	112	18209786	10.8654	4246439	1	2	3	3	4	1	5	23	head	3258829
112_H8_b	112_H8	H8	112	12616932	7.62855	10488484	1	5	3	2	2	1	5	23	body	8636236
112_H8_h	112_H8	H8	112	12616932	7.62855	3351158	1	2	3	3	4	1	5	23	head	2472426
112_H9_b	112_H9	H9	112	14982946	8.99238	10340632	1	5	3	2	2	1	5	23	body	8266820
112_H9_h	112_H9	H9	112	14982946	8.99238	1326562	1	2	3	3	4	1	5	23	head	1008247
113_A10_h	113_A10	A10	113	13004106	4.13526	6460641	1	2	2	2	2	1	5	23	head	5269503
113_A2_h	113_A2	A2	113	13193398	4.11867	629656	1	2	4	2	2	1	5	23	head	575248
113_A5_h	113_A5	A5	113	12395360	3.19699	4023195	1	2	2	2	2	1	5	23	head	3178748
113_A6_h	113_A6	A6	113	14805096	5.1143	7532157	1	2	2	2	2	1	5	23	head	5990515
113_A7_h	113_A7	A7	113	20528428	9.89025	5859011	1	2	2	2	2	1	5	23	head	4619427
113_A8_h	113_A8	A8	113	21486950	10.0527	3753517	1	2	2	2	2	1	5	23	head	2919671
113_A9_h	113_A9	A9	113	15298952	1.84024	2833093	1	2	2	2	2	1	5	23	head	2298349
113_B10_h	113_B10	B10	113	20882282	9.41166	5470215	1	2	2	2	2	1	5	23	head	4467980
113_B11_h	113_B11	B11	113	23363396	10.8441	3866587	1	2	2	2	2	1	5	23	head	3177745
113_B4_h	113_B4	B4	113	14349442	4.50766	6067366	1	2	2	2	2	1	5	23	head	4557345
113_B5_h	113_B5	B5	113	16593584	5.96222	2221353	1	2	5	2	2	1	5	23	head	1550622
113_B6_h	113_B6	B6	113	19610058	8.26603	7520047	1	2	2	2	2	1	5	23	head	5921240
113_B7_h	113_B7	B7	113	16340820	5.6396	7309495	1	2	2	2	2	1	5	23	head	5998078
113_C10_h	113_C10	C10	113	11917008	5.21083	3226180	1	2	2	2	2	1	5	23	head	2461223
113_C2_h	113_C2	C2	113	10024636	3.61318	3336786	1	2	2	2	2	1	5	23	head	2750960
113_C4_h	113_C4	C4	113	22493864	9.88363	4071824	1	2	2	2	2	1	5	23	head	3167721
113_C5_h	113_C5	C5	113	15101020	1.82296	3207457	1	2	2	2	2	1	5	23	head	2575438
113_C6_h	113_C6	C6	113	17922682	4.92459	8821977	1	2	2	2	2	1	5	23	head	6909062
113_C7_h	113_C7	C7	113	21408476	10.7191	2114698	1	2	2	2	2	1	5	23	head	1580536
113_C8_h	113_C8	C8	113	24005600	11.1577	4157167	1	2	2	2	2	1	5	23	head	3261724
113_D10_h	113_D10	D10	113	22124358	8.72166	3459580	1	2	2	2	2	1	5	23	head	2662868
113_D11_h	113_D11	D11	113	23344326	2.59537	3578539	1	2	2	2	2	1	5	23	head	2933053
113_D2_h	113_D2	D2	113	18528888	8.06939	2350928	1	2	2	2	2	1	5	23	head	1840616
113_D4_h	113_D4	D4	113	19625012	9.49028	3075903	1	2	2	2	2	1	5	23	head	2519616
113_D5_h	113_D5	D5	113	8875658	2.67756	3714768	1	2	2	2	2	1	5	23	head	3062007
113_D6_h	113_D6	D6	113	15288432	5.108	3793180	1	2	2	2	2	1	5	23	head	3057333
113_D7_h	113_D7	D7	113	24636610	10.5002	7271975	1	2	2	2	2	1	5	23	head	5770788
113_D8_h	113_D8	D8	113	9759552	3.06422	7339755	1	2	2	2	2	1	5	23	head	6050370
113_D9_h	113_D9	D9	113	24475900	11.3556	4073316	1	2	2	2	2	1	5	23	head	3162006
113_E10_h	113_E10	E10	113	13505660	4.17122	7598323	1	2	2	2	2	1	5	23	head	6351550
113_E11_h	113_E11	E11	113	14590122	5.19466	4198963	1	2	5	2	2	1	5	23	head	3294386
113_E4_h	113_E4	E4	113	16932704	7.34785	4658916	1	2	2	2	2	1	5	23	head	3838125
113_E5_h	113_E5	E5	113	14943650	5.37687	3311955	1	2	5	2	2	1	5	23	head	2503072
113_E6_h	113_E6	E6	113	21677686	10.3744	6320011	1	2	2	2	2	1	5	23	head	5350033
113_E7_h	113_E7	E7	113	11527698	2.66666	4685888	1	2	2	2	2	1	5	23	head	3565921
113_E8_h	113_E8	E8	113	26677534	12.3578	6128840	1	2	2	2	2	1	5	23	head	5297992
113_F10_h	113_F10	F10	113	11321520	3.5934	3669178	1	2	2	2	2	1	5	23	head	2848428
113_F11_h	113_F11	F11	113	16020218	4.96413	5478721	1	2	2	2	2	1	5	23	head	4486034
113_F4_h	113_F4	F4	113	17901982	2.17482	3773111	1	2	5	2	2	1	5	23	head	2678944
113_F5_h	113_F5	F5	113	13699420	1.69024	3133880	1	2	2	2	2	1	5	23	head	2399485
113_F6_h	113_F6	F6	113	14755466	1.84283	2827173	1	2	2	2	2	1	5	23	head	2098224
113_F7_h	113_F7	F7	113	13057280	4.1057	3977193	1	2	2	2	2	1	5	23	head	3176060
113_F8_h	113_F8	F8	113	15956880	5.55113	3265466	1	2	2	2	2	1	5	23	head	2712452
113_F9_h	113_F9	F9	113	19351142	7.83354	6740683	1	2	2	2	2	1	5	23	head	5635842
113_G10_h	113_G10	G10	113	17781396	6.21033	2633967	1	2	2	2	2	1	5	23	head	2030368
113_G11_h	113_G11	G11	113	16461552	5.05521	3828170	1	2	2	2	2	1	5	23	head	2998872
113_G4_h	113_G4	G4	113	9392962	2.84419	4359529	1	2	2	2	2	1	5	23	head	3535642
113_G5_h	113_G5	G5	113	15839492	5.8604	4477087	1	2	2	2	2	1	5	23	head	3667904
113_G6_h	113_G6	G6	113	17797538	6.12074	4249153	1	2	2	2	2	1	5	23	head	3355018
113_G8_h	113_G8	G8	113	19404784	7.75224	6207558	1	2	2	2	2	1	5	23	head	5147630
113_G9_h	113_G9	G9	113	16531668	7.75003	2940255	1	2	2	2	2	1	5	23	head	2467203
113_H10_h	113_H10	H10	113	16043426	5.65884	4784838	1	2	2	2	2	1	5	23	head	3586335
113_H11_h	113_H11	H11	113	10914338	2.55087	2742538	1	2	2	2	2	1	5	23	head	2090319
113_H2_h	113_H2	H2	113	13106832	4.1852	2461857	1	2	2	2	2	1	5	23	head	1912028
113_H5_h	113_H5	H5	113	48987358	4.95094	5061285	1	2	2	2	2	1	5	23	head	4010666
113_H6_h	113_H6	H6	113	8486500	1.94414	2048584	1	2	4	2	2	1	5	23	head	1477147
113_H7_h	113_H7	H7	113	26338782	8.48632	2193233	1	2	5	2	2	1	5	23	head	1692741
113_H8_h	113_H8	H8	113	16288260	6.83125	3431954	1	2	2	2	2	1	5	23	head	2648510
113_H9_h	113_H9	H9	113	18290050	7.70854	3616452	1	2	2	2	2	1	5	23	head	2904111
115_A1_b	115_A1	A1	115	10088892	5.88499	3082490	1	5	3	2	2	2	5	23	body	2455917
115_A1_h	115_A1	A1	115	10088892	5.88499	2019258	1	2	3	3	4	2	5	23	head	1502383
115_A10_b	115_A10	A10	115	5766454	3.98904	4133477	1	5	3	2	2	2	5	23	body	3332240
115_A10_h	115_A10	A10	115	5766454	3.98904	8322964	1	2	3	3	4	2	5	23	head	6687795
115_A11_b	115_A11	A11	115	9007522	5.28316	5941339	1	5	3	2	2	2	5	23	body	4742694
115_A11_h	115_A11	A11	115	9007522	5.28316	4589490	1	2	3	3	4	2	5	23	head	3527343
115_A2_h	115_A2	A2	115	10095904	6.00014	1008406	1	2	3	3	4	2	5	23	head	729904
115_A4_h	115_A4	A4	115	12952778	7.88451	2675408	1	2	3	3	4	2	5	23	head	1974190
115_A5_h	115_A5	A5	115	11513824	7.10218	1875320	1	2	3	3	4	2	5	23	head	1374011
115_A6_h	115_A6	A6	115	11802406	7.30736	2965341	1	2	3	3	4	2	5	23	head	2180023
115_A7_b	115_A7	A7	115	13011956	7.68652	6944469	1	5	3	2	2	2	5	23	body	5547669
